movie,cast
Universal Soldier: The Return,"Jean-Claude Van Damme,Michael Jai White,Kiana Tom"
Universal Soldier: Day of Reckoning,"Jean-Claude Van Damme,Dolph Lundgren,Scott Adkins"
Rocky II,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith"
Rocky IV,"Sylvester Stallone,Carl Weathers,Brigitte Nielsen,Dolph Lundgren"
Creed 2,"Sylvester Stallone,Carl Weathers,Brigitte Nielsen,Dolph Lundgren"
The Expandables II,"Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren,Chuck Norris,Jean-Claude Van Damme,Bruce Willis,Arnold Schwarzenegger,Terry Crews,Randy Couture,Liam Hemsworth,Scott Adkins"
Predator,"Arnold Schwarzenegger,Carl Weathers"
The Expendables,"Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren,Eric Roberts,Randy Couture,Steve Austin,Gary Daniels,Terry Crews,Mickey Rourke"
The Expandables III,"Sylvester Stallone,Jason Statham,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Kelsey Grammer,Randy Couture,Terry Crews,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Ronda Rousey,Glen Powell,Victor Ortiz,Robert Davi"
Demolition Man,"Sylvester Stallone,Wesley Snipes,Sandra Bullock"
Under Siege,"Steven Seagal,Tommy Lee Jones,Gary Busey"
Predator 2,"Danny Glover,Gary Busey,María Conchita Alonso,Bill Paxton,Robert Davi"
The Meg,"Jason Statham,Cliff Curtis"
Universal Soldier: Regeneration,"Jean-Claude Van Damme,Dolph Lundgren,Garry Cooper"
Icarus,"Dolph Lundgren,David Lewis,Samantha Ferris,Bo Svenson"
Furious 7,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Kurt Russel, Jason Statham"
John Rambo,"Sylvester Stallone, Julie Benz, Paul Schulze, Graham McTavish"
Escape Plan,"Sylvester Stallone,Arnold Schwarzenegger,Jim Caviezel, Vincent D'Onofiro, Vinnie Jones"
Universal Soldier,"Jean-Claude Van Damme,Dolph Lundgren,Ally Walker"
The Mummy: Tomb of the Dragon Emperor,"Brendan Fraser,Jet Li,Maria Bello,John Hannah,Russell Wong"
The One,"Jet Li,Jason Statham,Delroy Lindo,Carla Gugino,James Morrison"
Lethal Weapon 4,"Mel Gibson,Danny Glover,Joe Pesci,Rene Russo,Chris Rock,Jet Li"
Kiss of the Dragon,"Jet Li,Bridget Fonda,Tcheky Karyo,Ric Young,Burt Kwouk"
